index,problem
1,競漕会の三日前のレースコースでの結果は、農科と文科でどれくらいの秒数差があったか？
2,骸骨男の正体は誰ですか？作中で言及されている氏名で答えること。
3,骸骨男はバスの中に足跡を一切残さずにどうやって抜け出しましたか？
4,殺人罪で裁判にかけられた兄が登場しますが、その理由は何ですか？
5,小説「芽生」で出てくる国名は何種類ですか？
6,武男と浪子のうち、どちらが野外での楽しみをより積極的に表現していますか？
7,小説「芽生」で、主人公が東京から小諸に帰る時期から、実際に引越しが完了するまでの間はだいたいどのぐらいの日数だと考えられますか？
8,「競漕」の中で、文科のボート部メンバーが実際に酒を飲むシーンは何回か？
9,文中に登場するカタカナ表記された北海道の地名を全て挙げてください。
10,兄が情死を試みた時点から、実際に死亡するまでおよそ何年経過したと考えられますか？
11,お房が小諸を出発した日に一緒に出かけた友達は誰でしたか？
12,サーカス団の楽屋にいるライオンの数は合計何匹ですか？
13,死生に関するいくつかの断想に登場する二人の兄弟のうち、より健康だったのはどちらですか？
14,笠原正一君が見た恐ろしい夢の内容は何ですか？
15,馬に乗った骸骨男を見つけてから、明智が投げ縄をするまでに縮めた差は何メートルだと考えられますか？
16,染物屋で広げられた絹や綿の長い布に関して描写されている色を全て挙げてください。（読点区切り）
17,主人公が「最後の晩餐（ばんさん）！」と思った理由はなんですか？
18,少年探偵団のメンバーで捜査に協力した人々で名前が作中で言及されている人たちを全て答えてください(読点区切り、苗字のみ)
19,「万右衛門」という名前は何回登場しますか？
20,染物屋の家族が、泥棒から身を守ることができた理由は何ですか？
21,小説「芽生」で、 主人公が借りることができた庭に植えられていたものとして描写している植物を全てあげてください。（読点区切り）
22,ノロちゃんの本名は？
23,今年の春季に開かれる大学のボート大会の文科メンバーの中で、名前が公表されている全員をあげてください。（苗字のみ、読点区切り）
24,文中での「大豆」という文字の登場回数は何回ですか？
25,久野が舵手として参加することになった春季に開かれる大学のボート大会の勝者は、何科ですか？
26,骸骨男にさらわれたのは正一君とミヨ子ちゃんのどちらですか？
27,大学の競漕会にて、文科と農科、どちらの方が先にリードを奪いましたか？
28,婦人が見た夕景色はどの地域ですか？
29,骸骨男が最初に行った殺人はどこでしたか？
30,小説「芽生」の主人公が東京に行ったのは主に何のためですか？
31,小林君はどのようにして骸骨男の秘密を探りだしたのですか？
32,掃除されたと考えられる井戸がありますが、それは何月に行われたでしょうか？
33,仁右衛門が北海道を離れて始めた新しい生活は何ですか？
34,婦人の容姿を特徴づける要素を全て挙げてください。（読点区切り）
35,骸骨男が煙のように消えた場面として具体的に描写されたシーンは合計何回ありましたか？
36,私にメガネを作ってくれた老人が死んだことが手紙の内容から判明したのは何月何日ですか？
37,小作人となった主人公のおおよその身長は？
38,浅沼が辞退した時の文科の艇長の元親友の農科の舵手はだれか？（苗字のみ）
39,片岡中将の体重は何キログラムですか？
40,「サーカスの怪人」の作中に実物として登場する動物は全部で何種類ですか？
41,お房が病院に来てから何週間目に耳がよく聞こえなくなりましたか？
42,仁右衛門の妻と与十の妻のうち、体格がよいと言及されているのはどちらですか？
43,川島武男は佐世保で赤道直下の強烈な太陽にさらされて日射病になりましたが、どのように回復しましたか？
44,笠原団長の依頼を受け、少年探偵団と警察が骸骨男を捜索していた時に小林君が隠れていた場所はどこですか？
45,千々岩が恨みを抱いた人物を全て挙げてください。（読点区切り）
46,仁右衛門が村に到着したときに持っていた家畜は何ですか？
47,作中に登場する通訳者の名前は？
48,早川が競漕に参加しなかった理由は卒業論文ですか？
49,作中で婦人は何歳くらいだと描写されていますか？
50,「へへ…」（への回数は問わない）という笑い声が登場する回数は何回ですか？
51,カインの末裔の舞台となる都道府県はどこですか？
52,作中の人力車夫の弟が、1ヶ月（30日）働いたときの人力車のレンタル代はいくらですか？
53,利子が単利で計算されるものとした場合、3年間小作料を滞納すると支払うべき利子の総額は1反歩あたりいくらになりますか？
54,骸骨男が犯行に使った魔法の種類は？
55,文科チームの合宿所は、どんな店名の料理屋の裏手になるか？
56,作中で描写されている巨大なトンボの装飾品の大きさは、おおよそ何センチメートルですか？
57,山木兵造の妻がお豊に関する悩みに対して、山木兵造が提案した解決策はなんですか？
58,武男と浪子のどちらが先に湯に入っていますか？
59,婦人が着ていた被布の色は何色ですか？
60,お菊とお繁、新しい環境でも元気だったのはどちらですか？
